in s,C1 in V,C2 in V
-3.7212532E-02,2.1380175E+00,6.25003815E-01
-3.7212156E-02,2.1380175E+00,6.25003815E-01
-3.7211780E-02,2.1380175E+00,6.25003815E-01
-3.7211404E-02,2.1380175E+00,6.25003815E-01
-3.7211028E-02,2.1380175E+00,6.25003815E-01
-3.7210652E-02,2.1380175E+00,6.25003815E-01
-3.7210276E-02,2.1380175E+00,6.25003815E-01
-3.7209900E-02,2.1380175E+00,6.25003815E-01
-3.7209524E-02,2.1380175E+00,6.25003815E-01
-3.7209148E-02,2.1380175E+00,6.25003815E-01
-3.7208772E-02,2.1380175E+00,6.25003815E-01
-3.7208396E-02,2.1380175E+00,6.25003815E-01
-3.7208020E-02,2.1380175E+00,6.25003815E-01
-3.7207644E-02,2.1380175E+00,6.25003815E-01
-3.7207268E-02,2.1380175E+00,6.25003815E-01
-3.7206892E-02,2.1380175E+00,6.25003815E-01
-3.7206516E-02,2.1380175E+00,6.25003815E-01
-3.7206140E-02,2.1380175E+00,6.25003815E-01
-3.7205764E-02,2.1380175E+00,6.25003815E-01
-3.7205388E-02,2.1380175E+00,6.25003815E-01
-3.7205012E-02,2.1380175E+00,6.25003815E-01
-3.7204636E-02,2.1380175E+00,6.25003815E-01
-3.7204260E-02,2.1380175E+00,6.25003815E-01
-3.7203884E-02,2.1380175E+00,6.25003815E-01
-3.7203508E-02,2.1380175E+00,6.25003815E-01
-3.7203132E-02,2.1380175E+00,6.25003815E-01
-3.7202756E-02,2.1380175E+00,6.25003815E-01
-3.7202380E-02,2.1380175E+00,6.25003815E-01
-3.7202004E-02,2.1380175E+00,6.25003815E-01
-3.7201628E-02,2.1380175E+00,6.25003815E-01
-3.7201252E-02,2.1380175E+00,6.25003815E-01
-3.7200876E-02,2.1380175E+00,6.25003815E-01
-3.7200500E-02,2.1380175E+00,6.25003815E-01
-3.7200124E-02,2.1380175E+00,6.25003815E-01
-3.7199748E-02,2.1380175E+00,6.25003815E-01
-3.7199372E-02,2.1380175E+00,6.25003815E-01
-3.7198996E-02,2.1380175E+00,6.25003815E-01
-3.7198620E-02,2.1380175E+00,6.25003815E-01
-3.7198244E-02,2.1380175E+00,6.25003815E-01
-3.7197868E-02,2.1380175E+00,6.25003815E-01
-3.7197492E-02,2.1380175E+00,6.25003815E-01
-3.7197116E-02,2.1380175E+00,6.25003815E-01
-3.7196740E-02,2.1380175E+00,6.25003815E-01
-3.7196364E-02,2.1380175E+00,6.25003815E-01
-3.7195988E-02,2.1380175E+00,6.25003815E-01
-3.7195612E-02,2.1380175E+00,6.25003815E-01
-3.7195236E-02,2.1380175E+00,6.25003815E-01
-3.7194860E-02,2.1380175E+00,6.25003815E-01
-3.7194484E-02,2.1380175E+00,6.25003815E-01
-3.7194108E-02,2.1380175E+00,6.25003815E-01
-3.7193732E-02,2.1380175E+00,6.25003815E-01
-3.7193356E-02,2.1380175E+00,6.25003815E-01
-3.7192980E-02,2.1380175E+00,6.25003815E-01
-3.7192604E-02,2.1380175E+00,6.25003815E-01
-3.7192228E-02,2.1380175E+00,6.25003815E-01
-3.7191852E-02,2.1380175E+00,6.25003815E-01
-3.7191476E-02,2.1380175E+00,6.25003815E-01
-3.7191100E-02,2.1380175E+00,6.25003815E-01
-3.7190724E-02,2.1380175E+00,6.25003815E-01
-3.7190348E-02,2.1380175E+00,6.25003815E-01
-3.7189972E-02,2.1380175E+00,6.25003815E-01
